model,horizon,mae,rmse,wape,mape,r2,mean_bias
Previous Hour,23,571.9193464622942,817.0758424096197,11.69696467233744,12.669525917004146,0.6040570860900286,-40.260999222978164
Previous Hour,24,555.8256799400372,822.5330124576982,11.361904614810397,12.248904710998417,0.5991770716174437,-42.80447968447606
Previous Day,1,592.071000229189,883.8872274568581,12.19104357304475,13.592624482299703,0.5333786414450936,-23.635991864898585
Previous Day,2,587.2228014124935,876.4502380121027,12.101936695246073,13.41892291650813,0.5411487527318168,-20.680649266028894
Previous Day,3,582.9845211749614,869.408575682199,12.013657435578619,13.230709209532407,0.5479713055890774,-18.546616383017298
Previous Day,4,578.8373951148227,863.3022706756299,11.92836057269793,13.04251295261752,0.5543293588585586,-15.60499661946039
Previous Day,5,574.8358543797931,857.9882461079533,11.845799473761167,12.858797671516381,0.5598744599309935,-13.184395231642347
Previous Day,6,571.0523250814123,853.5832648530711,11.767892842513413,12.693468539683634,0.564197947187986,-11.13343982172202
Previous Day,7,567.9472377002762,850.65202568534,11.703052759924251,12.573522321671055,0.5665464784542347,-9.828005486075641
Previous Day,8,567.230394986321,849.9625319358275,11.68488864210318,12.55052418112545,0.5657880530730147,-9.357060998797305
Previous Day,9,568.7261955517283,850.951395706811,11.70987108122869,12.584805237109432,0.5628991094785876,-9.922202350634873
Previous Day,10,570.5473353615458,852.7613445227942,11.739591832696147,12.618521678730794,0.5592836387313405,-12.10786927430489
Previous Day,11,573.1164943181124,854.8934819227451,11.783463748224595,12.66310441973017,0.555633698103208,-15.414369531308246
Previous Day,12,576.4313902317592,857.0008106836244,11.842021057175065,12.720398503738087,0.552487756989799,-19.014178063819152
Previous Day,13,578.7794260837253,857.8598674259941,11.879977277642677,12.75687955028115,0.5510503797516997,-22.578271484533634
Previous Day,14,579.5349079649898,857.6766217207482,11.887099920467076,12.762521054356327,0.5509721161604991,-25.358146837913218
Previous Day,15,577.8138870192174,855.7705248138677,11.846666227540474,12.725809959570727,0.5526445649970749,-26.046461538504307
Previous Day,16,575.7111614987857,852.6526134819325,11.800229650424885,12.683534631003992,0.5556113621260879,-27.833836249375562
Previous Day,17,573.2442076308854,848.2805001074953,11.744578350175237,12.630404787963325,0.5608641828424727,-30.289338048398957
Previous Day,18,570.6822730382356,844.0214670184835,11.685621359965296,12.570282893486617,0.5664004391262794,-32.40224796872792
Previous Day,19,568.5360079392892,840.8496257166777,11.63440126581079,12.518351691526192,0.5707118359456734,-34.30032751126197
Previous Day,20,566.9637589458857,839.128240619716,11.593853910245318,12.481513369736023,0.5734848412429994,-36.8833567823849
Previous Day,21,565.7108593257309,837.5271544352498,11.557152731878709,12.455340804761992,0.5746541480656115,-39.32295685191864
Previous Day,22,564.1036988319037,835.1642564927653,11.520752688041226,12.424450063722047,0.5778145573942381,-40.43163226344127
